60416207185,Mary,Diaz,2.77,Low Value
60490596305,Karen,Johnson,388.46,Low Value
501802953619,Robert,Flores,24.86,Low Value
501899453424,Jessica,Dominguez,6.35,Low Value
502012776709,Sherry,Martinez,282.77,Low Value
503848303379,Gregory,Wallace,104.17,Low Value
503874407318,Andrew,Mcgee,217.68,Low Value
567868110212,Dawn,Tucker,69.30,Low Value
568279015842,Micheal,Hernandez,102.69,Low Value
570273151375,Peter,Edwards,53.88,Low Value
571365235126,Barbara,Taylor,168.39,Low Value
571465035400,Louis,Fisher,30.32,Low Value
571844099986,Susan,Mills,9.17,Low Value
573283817795,Amy,Flynn,44.72,Low Value
573860193545,Cristian,Jones,6.33,Low Value
580954173374,Jessica,Benitez,72.07,Low Value
581293083266,William,Thomas,109.89,Low Value
581508178315,Michael,Vargas,102.05,Low Value
581686439828,Larry,House,92.19,Low Value
583699482621,Jennifer,Jones,8.91,Low Value
584673555952,Jessica,Jordan,83.33,Low Value
630412733309,Heather,Stanton,14.39,Low Value
630423337322,Stephanie,Gill,24.35,Low Value
630425673344,Bryan,Miller,9.83,Low Value
630451534402,Rachel,Daniels,48.49,Low Value
630469040731,Meredith,Ayala,25.32,Low Value
630471368021,George,Floyd,108.16,Low Value
630484879808,Ian,Patton,107.09,Low Value
639023984367,Destiny,Lowe,111.62,Low Value
639046421587,Dylan,Bonilla,81.28,Low Value
675945690716,Ellen,Smith,58.00,Low Value
675990301623,Amanda,Spencer,145.95,Low Value
676102124465,Natasha,Mclaughlin,92.53,Low Value
676118385837,Katelyn,Wise,7.94,Low Value
676148621961,Jennifer,Vega,877.49,Low Value
676173792455,Brittany,Cox,51.31,Low Value
676195318214,Brandy,Quinn,94.47,Low Value
676281772837,Alicia,Bishop,319.08,Low Value
676298633337,Jessica,Werner,163.88,Low Value
676309913934,Robert,Martinez,258.37,Low Value
676314217768,Ellen,Carrillo,955.09,Low Value
676369110710,David,Wolfe,103.92,Low Value
676372984911,Vicki,Mendoza,205.93,Low Value
4026222041577,Debbie,Payne,963.34,Low Value
4066595222529,Jamie,Olson,126.23,Low Value
4079773899158,Eric,Preston,86.31,Low Value
4149635823017,Samuel,Farrell,168.87,Low Value
4169388510116,Marcia,Molina,44.49,Low Value
4186530744674,Casey,Howell,72.56,Low Value
4195740185974,Benjamin,Robinson,118.58,Low Value
4198470814557,Christie,Williamson,83.85,Low Value
4239436242473,James,Leon,25.32,Low Value
4247921790666,Judith,Moss,297.16,Low Value
4259996134423,Julie,Johnson,14.13,Low Value
4260128500325,Whitney,Gallagher,2.74,Low Value
4383521454815,John,Robertson,596.61,Low Value
4427805710168,Michelle,Rodriguez,5.84,Low Value
4440581794652,Karen,Cooper,5.97,Low Value
4471568287204,Dakota,Maldonado,17.35,Low Value
4476840372112,Steven,Walters,93.25,Low Value
4505383113689,Alicia,Hawkins,9.69,Low Value
4538566639857,Jerry,Kelly,61.04,Low Value
4561546772499,Daniel,Briggs,119.59,Low Value
4561892980175,Jacqueline,Allen,5.19,Low Value
4585132874641,Karen,Gordon,51.49,Low Value
4586260469584,Melody,Thompson,50.65,Low Value
4613314721966,Jason,Murphy,143.31,Low Value
4640395708703,Melissa,Krause,85.53,Low Value
4642894980163,Eddie,Mendez,45.71,Low Value
4658117080136,Dwayne,Martinez,33.43,Low Value
4681699462969,Joseph,Gonzalez,183.90,Low Value
4683638447911,Daniel,Boyd,134.17,Low Value
4687263141103,Sarah,Cross,302.30,Low Value
4745996322265,Carrie,Washington,384.04,Low Value
4755696071492,Robert,Evans,168.03,Low Value
4783226709001,Jessica,Garcia,133.42,Low Value
4806443445305,Eric,Patel,7.15,Low Value
4862293128558,Elizabeth,Payne,43.10,Low Value
4900628639996,Michael,Johnson,203.91,Low Value
4981132848794,Joseph,Spencer,28.13,Low Value
4990494243023,Martin,Ford,4.11,Low Value
30011465039817,Lisa,Garcia,25.38,Low Value
30029052116970,Curtis,Young,166.22,Low Value
30030380240193,William,Jenkins,246.16,Low Value
30042378430132,Connor,Grant,8.42,Low Value
